,datePublished,user,text_header,verified,text_content,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
0,9th February 2025,Vijay Basak,"""Unprofessional behaviour of the staff""",Not Verified ,"  Unprofessional behaviour of the staff. They have changed my seat twice first given me window seat then aisle, then middle seat, in the last minute saying that you have not paid money for the seat while I have paid more than 14000 to travel Mumbai to Delhi. They need to compensate for such behaviour and inconvenience.",SG 386,Business,Economy Class,Mumbai to Delhi,February 2025,1,1,1,1,1,1,1,no
1,2nd February 2025,J Daseni,"""charged for 2 kg hand baggage""",✅ Trip Verified ,"   Worst airline to fly. Ground check in staff was pathetic. First of all charged for 2 kg hand baggage and charged 100 rs extra. Airplane was old, broken magazine holder, small leg room.",NA,Solo Leisure,Economy Class,Jaipur to Pune,January 2025,1,1,1,1,1,1,1,no
2,7th January 2025,Taha Sabuwala,“abysmal level of service”,Not Verified ,"  I am writing this review to express my utter disappointment with SpiceJet's abysmal level of service, which has left me frustrated and deeply dissatisfied. Incident Overview: Upon boarding the flight, I discovered that the check-in gates were closed 30 minutes before departure, leaving passengers scrambling to make it on time without clear instructions or assistance from the ground staff. To make matters worse, when I landed at my destination, my baggage did not arrive on the conveyor belt. Follow-Up Nightmare: I followed up multiple times with SpiceJet's management and customer service regarding the missing baggage. I was informed that my baggage would arrive on the next flight to Mumbai at 10 PM on January 6th. However, after waiting beyond 10 PM, the baggage still didn’t arrive. Upon contacting customer service yet again, the response I received was nothing short of shocking: ""We don’t really know much about it."" Eventually, I was informed that my baggage was declared lost, leaving me stranded without my belongings and without the airline's accountability. Unacceptable Service: This level of negligence is beyond disgraceful for an airline that claims to serve passengers professionally. It is unacceptable that: The baggage was not loaded onto the flight, reflecting the cabin crew's and ground staff's complete failure. The customer service team provided conflicting and unhelpful information, adding to the frustration. No compensation or proper resolution was offered for the lost baggage, leaving me to bear the financial and emotional burden. Call for Action: Stringent action must be taken against the flight management and cabin crew responsible for this mishandling. It is unacceptable for passengers to endure such incompetence and lack of accountability. This experience has severely eroded my trust in SpiceJet, and I will actively discourage others from using this airline unless significant improvements are made. Conclusion: SpiceJet's service was terrible, disgraceful, and indicative of a broader failure in customer care and operational efficiency. I demand an immediate investigation into this matter and appropriate compensation for my ordeal. Passengers deserve much better than this appalling level of service. I shall be taking Strict action against the flight management for this disgraceful experience; I highly urge and request people to avoid travelling on these cheap low-cost airlines with such a pathetic level of customer service , instead, I would recommend either alternative airlines to travel.",NA,Solo Leisure,Economy Class,Dubai to Mumbai via Udaipur,January 2025,2,1,1,1,1,1,1,no
3,18th November 2024,Tanishka Soni,"""worst flight experience ever""",Not Verified ,"  The worst flight service experience ever! We had originally booked a direct evening flight from Ahmedabad to Pune and planned our 2-day hotel stay accordingly. However, the airline cancelled our flight and rescheduled it to an inconvenient 3 AM slot, wasting one entire day of our hotel booking. To make matters worse, instead of offering another direct flight, they gave us a frustrating itinerary with multiple connecting flights, which kept getting delayed at every step: Ahmedabad to Goa, originally scheduled for 5:55 AM, was delayed to 7:05 AM. Goa to Pune, originally scheduled for 1:55 PM, was delayed to 2:55 PM and then further to 4:20 PM. This meant we were stranded at the Goa airport for over 5-6 hours, completely disrupting our plans. They wasted our hotel booking, our time, and caused unnecessary stress and frustration. Hands down, the worst flight experience ever!",NA,Solo Leisure,Economy Class,Ahmedabad to Pune via Goa,November 2024,1,1,1,1,1,1,1,no
4,16th November 2024,Manraj Kaur,"""worst airline ever""",✅ Trip Verified ,"   The worst airline ever. I've spent around 6k to buy the ticket and rescheduling my flight as well and they cancelled the flight at the last minute due to bad weather whereas other flights were taking off. And now I've got the refund of just 1600. Had a word with their customer service they have confirmed that they can only provide the refund for 1600 only as I've booked the flight from the third party (MMT). I'm furious to have such horrible experience. In future, if I had the option to choose between spicejet and a bus, I would surely go for the bus.",NA,Solo Leisure,Economy Class,Amritsar to Delhi,November 2024,NA,NA,NA,NA,NA,NA,1,no
5,23rd September 2024,J Kalumar,"""Extremely disappointing experience""",✅ Trip Verified ,"   Late flight. Extremely poor customer management. Initially staff was not responding for 1 hr. Later, hopeless response by staff. Extremely disappointing experience.",NA,Family Leisure,Economy Class,Bangalore to Delhi,September 2024,1,1,NA,NA,1,NA,1,no
6,22nd September 2024,Sonu Dhami,"""policy seems unfair and exploitative""",Not Verified ,"  I recently had the misfortune of flying with SpiceJet, and it was one of the worst experiences I've ever had with an airline.  The crew was unprofessional, unhelpful, and lacked basic courtesy. Lack of information regarding flight delays, boarding, and other essential updates. No assistance provided for damaged seats or basic amenities. Charged ₹2400 for being 1 minute late for boarding, despite a long queue. This policy seems unfair and exploitative. Seats were damaged and uncomfortable. Long queues and inefficient boarding process.  Overall, a poorly managed and chaotic experience.  Avoid flying with SpiceJet unless absolutely necessary.",NA,Couple Leisure,Economy Class,Bangalore to Delhi,September 2024,1,2,NA,NA,1,NA,1,no
7,9th September 2024,Raman Dhawan,"""flight was delayed by 10 hours""",Not Verified ,"  I had booked five to and fro tickets to Srinagar from Delhi and back for 27 Aug 24 and 07 Sep 24. I am very disappointed to state that on both occasions the flights were more than 6 hours delayed. The return flight was delayed by 10 hours. There was no apology from the airline or even offer for some water and snacks. In addition, the aircraft interiors were dirty, smelly and on both flights the air-conditioning was not working till we took off. I can assure you that I and my friends and colleagues will never travel by SpiceJet again.",NA,Couple Leisure,Economy Class,Delhi to Srinagar,September 2024,2,2,1,1,1,1,2,no
8,4th September 2024,Sachin Atri,"""only sends automated emails""",✅ Trip Verified ,"   Spicejet justifies the tag of being a budget airline! So much so that it does not believe in giving boarding passes online either. A customer could keep doing web check in without receiving the boarding pass or an email confirming the same. The customer service only sends automated emails. Whoever you email to, the response is an immediate auto response email. And the icing on the cake is that, their flights, a day before, get delayed and the reason cited is ""operatonal"" and one could keep guessing what that possibly means. And this experience is even before a customer has taken the flight!",NA,Family Leisure,Economy Class,Delhi to Dharamshala,September 2024,2,2,NA,NA,2,NA,2,no
9,3rd September 2024,Sanket Shah,"""outstanding service I experienced""",Not Verified ,"  I wanted to take a moment to express my sincere thanks for the outstanding service I experienced on my recent flight from Pune to Delhi. SG-8937. From the moment I boarded, the warmth and friendliness of the air hostesses and crew stood out. They were incredibly attentive, always ensuring that every passenger was comfortable and well taken care of. The professionalism and care they demonstrated, from the safety briefings to the in-flight service, were truly commendable. The team went above and beyond to create a welcoming and pleasant atmosphere, making the journey not just a flight, but a delightful experience.",NA,Business,Economy Class,Pune to Delhi,August 2024,5,5,1,NA,5,NA,5,yes
10,31st August 2024,P Bhatnagar,"""Flight delayed by 5 hours""",Not Verified ,  Flight delayed by 5 hours with no communication. The seat allocation is a mess. Changed our 6 seats with 2 kids right at the end in spite of e-boarding passes. On top of it rude staff. Denied wheel chair to senior citizen. I would have given a minus rating if there was an option.,NA,Family Leisure,Economy Class,Delhi to Ayodhya,August 2024,1,1,NA,NA,1,NA,1,no
11,25th August 2024,Kamal Dhama,“Worst ever domestic airline”,✅ Trip Verified , Worst ever domestic airline in India currently. Their flights are always delayed for 3-4 hours and their support staff always comes with strange and poor reasons. They don’t care about their passengers. They make them wait for long hours without providing them the actual timings. They don’t even compensate for their delays. They offer a refund if a flight is delayed by 3 hours which is useless anyways because you have to book another flight for you on the spot which costs you double the amount and you are already late. Their support staff is not even bothered to help and guide their passengers. Inside the flight you won’t even get a 250ml water bottle. If you request then only you will be given half of glass water only.,NA,Solo Leisure,Economy Class,Mumbai to Delhi,August 2024,2,1,NA,NA,1,NA,1,no
12,23rd August 2024,Preeti Bhargava,"""Worst ever experience """,Not Verified ,"  Worst ever experience. Always delayed. Also the ground staff till the cabin crew no one has the basic sense of womens comfort and safety . Even after observing and requested they made me sit between two men.  Such bad experience not once, this is always.",NA,Family Leisure,Economy Class,Jaipur to Dubai,August 2024,2,1,1,1,1,1,1,no
